Year,Type,Amount
2007,Liquor Receipts,182.156084
2007,Wine Receipts,48.916908
2007,Beer Receipts,134.21516
2007,Total_Alc,365.288152
2008,Liquor Receipts,193.565393
2008,Wine Receipts,50.963051
2008,Beer Receipts,143.346221
2008,Total_Alc,387.874665
2009,Liquor Receipts,191.727265
2009,Wine Receipts,47.921925
2009,Beer Receipts,141.621895
2009,Total_Alc,381.271085
2010,Liquor Receipts,210.289488
2010,Wine Receipts,52.898598
2010,Beer Receipts,149.726179
2010,Total_Alc,412.914265
2011,Liquor Receipts,224.117403
2011,Wine Receipts,56.862344
2011,Beer Receipts,157.187657
2011,Total_Alc,438.167404
2012,Liquor Receipts,239.336194
2012,Wine Receipts,59.134363
2012,Beer Receipts,170.132036
2012,Total_Alc,468.602593
2013,Liquor Receipts,247.557998
2013,Wine Receipts,60.834704
2013,Beer Receipts,169.974077
2013,Total_Alc,478.366779
2014,Liquor Receipts,260.026832
2014,Wine Receipts,65.279698
2014,Beer Receipts,175.543322
2014,Total_Alc,500.849852
2015,Liquor Receipts,272.495326
2015,Wine Receipts,67.655553
2015,Beer Receipts,180.553283
2015,Total_Alc,520.704162
2016,Liquor Receipts,295.604849
2016,Wine Receipts,70.434355
2016,Beer Receipts,190.944346
2016,Total_Alc,556.98355
2017,Liquor Receipts,305.937272
2017,Wine Receipts,74.691242
2017,Beer Receipts,198.238857
2017,Total_Alc,578.867371
2018,Liquor Receipts,335.563248
2018,Wine Receipts,82.115793
2018,Beer Receipts,208.478579
2018,Total_Alc,626.15762
2019,Liquor Receipts,353.735878
2019,Wine Receipts,81.333993
2019,Beer Receipts,209.762225
2019,Total_Alc,644.832096
2020,Liquor Receipts,203.90686
2020,Wine Receipts,41.399361
2020,Beer Receipts,105.485285
2020,Total_Alc,350.791506
2021,Liquor Receipts,378.387583
2021,Wine Receipts,66.483713
2021,Beer Receipts,183.066054
2021,Total_Alc,627.93735
2022,Liquor Receipts,467.745139
2022,Wine Receipts,84.14363900000001
2022,Beer Receipts,223.009988
2022,Total_Alc,774.898766
2023,Liquor Receipts,491.028218
2023,Wine Receipts,90.152284
2023,Beer Receipts,227.919295
2023,Total_Alc,809.099797
